NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,DIA_SEMANA,MES,SEMANA,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_ESTIMADO,BENEFICIO_ESTIMADO
Sisterhood Free 132,2023-03-01,ELCHE,Wednesday,3,9,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 133,2023-03-01,GIRONA,Wednesday,3,9,27,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 134,2023-03-01,GIRONA,Wednesday,3,9,29,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 135,2023-03-01,ELCHE,Wednesday,3,9,51,45,45,544.9499999999999,False,pago,151.43,393.5199999999999
Sisterhood Free 136,2023-04-01,ELCHE,Saturday,4,13,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 137,2023-04-01,ELCHE,Saturday,4,13,25,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 138,2023-04-01,GIRONA,Saturday,4,13,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 139,2023-04-01,ELCHE,Saturday,4,13,30,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 140,2023-04-01,GIRONA,Saturday,4,13,46,44,44,586.96,False,pago,119.62,467.34000000000003
Sisterhood Free 141,2023-05-01,ELCHE,Monday,5,18,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 142,2023-05-01,ELCHE,Monday,5,18,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 143,2023-05-01,ELCHE,Monday,5,18,25,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Free 144,2023-05-01,GIRONA,Monday,5,18,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 145,2023-05-01,GIRONA,Monday,5,18,58,51,51,971.04,False,pago,181.84,789.1999999999999
Sisterhood Free 146,2023-06-01,ELCHE,Thursday,6,22,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 147,2023-06-01,GIRONA,Thursday,6,22,25,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 148,2023-06-01,GIRONA,Thursday,6,22,22,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Free 149,2023-06-01,ELCHE,Thursday,6,22,29,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 150,2023-06-01,GIRONA,Thursday,6,22,55,51,51,617.1,False,pago,137.43,479.67
Sisterhood Free 151,2023-07-01,GIRONA,Saturday,7,26,28,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 152,2023-07-01,ELCHE,Saturday,7,26,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 153,2023-07-01,GIRONA,Saturday,7,26,25,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 154,2023-07-01,GIRONA,Saturday,7,26,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 155,2023-07-01,ELCHE,Saturday,7,26,53,51,51,601.29,False,pago,238.67,362.62
Sisterhood Free 156,2023-08-01,ELCHE,Tuesday,8,31,25,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 157,2023-08-01,ELCHE,Tuesday,8,31,32,0,30,0.0,True,gratuito,0.0,0.0
Sisterhood Free 158,2023-08-01,GIRONA,Tuesday,8,31,30,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 159,2023-08-01,GIRONA,Tuesday,8,31,25,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 160,2023-08-01,GIRONA,Tuesday,8,31,56,53,53,963.0100000000001,False,pago,169.05,793.96
Sisterhood Free 161,2023-09-01,ELCHE,Friday,9,35,24,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 162,2023-09-01,GIRONA,Friday,9,35,28,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 163,2023-09-01,GIRONA,Friday,9,35,32,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 164,2023-09-01,ELCHE,Friday,9,35,25,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 165,2023-09-01,GIRONA,Friday,9,35,63,55,55,703.4499999999999,False,pago,196.22,507.2299999999999
Sisterhood Free 166,2023-10-01,ELCHE,Sunday,10,40,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 167,2023-10-01,ELCHE,Sunday,10,40,28,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 168,2023-10-01,GIRONA,Sunday,10,40,33,0,30,0.0,True,gratuito,0.0,0.0
Sisterhood Free 169,2023-10-01,GIRONA,Sunday,10,40,29,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 170,2023-10-01,ELCHE,Sunday,10,40,48,46,46,509.68,False,pago,165.18,344.5
Sisterhood Free 171,2023-11-01,ELCHE,Wednesday,11,44,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 172,2023-11-01,GIRONA,Wednesday,11,44,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 173,2023-11-01,GIRONA,Wednesday,11,44,27,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 174,2023-11-01,GIRONA,Wednesday,11,44,30,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 175,2023-11-01,GIRONA,Wednesday,11,44,57,51,51,982.2600000000001,False,pago,180.77,801.4900000000001
Sisterhood Free 176,2023-12-01,GIRONA,Friday,12,48,30,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 177,2023-12-01,ELCHE,Friday,12,48,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 178,2023-12-01,ELCHE,Friday,12,48,34,0,29,0.0,True,gratuito,0.0,0.0
Sisterhood Free 179,2023-12-01,ELCHE,Friday,12,48,25,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 180,2023-12-01,ELCHE,Friday,12,48,70,64,64,837.76,False,pago,161.26,676.5
Sisterhood Free 181,2024-01-01,ELCHE,Monday,1,0,30,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 182,2024-01-01,GIRONA,Monday,1,0,24,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 183,2024-01-01,ELCHE,Monday,1,0,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 184,2024-01-01,GIRONA,Monday,1,0,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 185,2024-01-01,ELCHE,Monday,1,0,54,49,49,758.52,False,pago,100.06,658.46
Sisterhood Free 186,2024-02-01,ELCHE,Thursday,2,4,29,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 187,2024-02-01,ELCHE,Thursday,2,4,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 188,2024-02-01,ELCHE,Thursday,2,4,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 189,2024-02-01,ELCHE,Thursday,2,4,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 190,2024-02-01,GIRONA,Thursday,2,4,49,43,43,633.39,False,pago,235.18,398.21
Sisterhood Free 191,2024-03-01,GIRONA,Friday,3,8,24,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 192,2024-03-01,ELCHE,Friday,3,8,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 193,2024-03-01,ELCHE,Friday,3,8,26,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 194,2024-03-01,GIRONA,Friday,3,8,24,0,21,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 195,2024-03-01,GIRONA,Friday,3,8,59,51,51,611.49,False,pago,103.66,507.83000000000004
Sisterhood Free 196,2024-04-01,GIRONA,Monday,4,13,30,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 197,2024-04-01,GIRONA,Monday,4,13,26,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 198,2024-04-01,ELCHE,Monday,4,13,30,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 199,2024-04-01,GIRONA,Monday,4,13,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 200,2024-04-01,ELCHE,Monday,4,13,49,44,44,547.36,False,pago,198.41,348.95000000000005
Sisterhood Free 201,2024-05-01,GIRONA,Wednesday,5,17,27,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 202,2024-05-01,ELCHE,Wednesday,5,17,28,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 203,2024-05-01,GIRONA,Wednesday,5,17,33,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 204,2024-05-01,ELCHE,Wednesday,5,17,29,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 205,2024-05-01,GIRONA,Wednesday,5,17,51,43,43,482.03000000000003,False,pago,120.0,362.03000000000003
Sisterhood Free 206,2024-06-01,ELCHE,Saturday,6,21,27,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 207,2024-06-01,ELCHE,Saturday,6,21,30,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 208,2024-06-01,ELCHE,Saturday,6,21,31,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Free 209,2024-06-01,ELCHE,Saturday,6,21,28,0,26,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 210,2024-06-01,ELCHE,Saturday,6,21,74,69,69,868.71,False,pago,137.09,731.62
Sisterhood Free 211,2024-07-01,ELCHE,Monday,7,26,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 212,2024-07-01,ELCHE,Monday,7,26,30,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 213,2024-07-01,ELCHE,Monday,7,26,32,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 214,2024-07-01,GIRONA,Monday,7,26,30,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 215,2024-07-01,GIRONA,Monday,7,26,53,49,49,654.64,False,pago,233.95,420.69
Sisterhood Free 216,2024-08-01,GIRONA,Thursday,8,30,29,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 217,2024-08-01,GIRONA,Thursday,8,30,24,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 218,2024-08-01,ELCHE,Thursday,8,30,26,0,24,0.0,True,gratuito,0.0,0.0
Sisterhood Free 219,2024-08-01,GIRONA,Thursday,8,30,24,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 220,2024-08-01,ELCHE,Thursday,8,30,56,51,51,678.8100000000001,False,pago,169.89,508.9200000000001
Sisterhood Free 221,2024-09-01,GIRONA,Sunday,9,35,34,0,32,0.0,True,gratuito,0.0,0.0
Sisterhood Free 222,2024-09-01,ELCHE,Sunday,9,35,23,0,19,0.0,True,gratuito,0.0,0.0
Sisterhood Free 223,2024-09-01,GIRONA,Sunday,9,35,32,0,27,0.0,True,gratuito,0.0,0.0
Sisterhood Free 224,2024-09-01,ELCHE,Sunday,9,35,24,0,20,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 225,2024-09-01,GIRONA,Sunday,9,35,52,48,48,623.52,False,pago,158.5,465.02
Sisterhood Free 226,2024-10-01,ELCHE,Tuesday,10,39,33,0,28,0.0,True,gratuito,0.0,0.0
Sisterhood Free 227,2024-10-01,GIRONA,Tuesday,10,39,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 228,2024-10-01,GIRONA,Tuesday,10,39,25,0,22,0.0,True,gratuito,0.0,0.0
Sisterhood Free 229,2024-10-01,ELCHE,Tuesday,10,39,27,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Premium 230,2024-10-01,GIRONA,Tuesday,10,39,58,53,53,708.0799999999999,False,pago,201.87,506.2099999999999
Sisterhood Free 231,2024-11-01,ELCHE,Friday,11,43,25,0,23,0.0,True,gratuito,0.0,0.0
Sisterhood Free 232,2024-11-01,ELCHE,Friday,11,43,27,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 233,2024-11-01,GIRONA,Friday,11,43,29,0,25,0.0,True,gratuito,0.0,0.0
Sisterhood Free 234,2024-11-01,GIRONA,Friday,11,43,24,0,23,0.0,True,gratuito,0.0,0.0
