localidad,tipo,distancia,fuente,fecha_datetime,año,mes,día_semana,distancia_km,nombre_evento,semana,eventos_semana,semana_libre
"Castelló, La Vilavella",Travesía,19500 m,runedia,2025-01-30,2025,1,Jueves,19.5,Marxa de Muntanya Sant Sebastia,5,35,False
"Alacant, Pego",Ruta,21097 m,runedia,2025-01-30,2025,1,Jueves,21.1,Mitja marató Vila de Pego,5,35,False
"València, Torrent",Montaña,22000 m,runedia,2025-01-30,2025,1,Jueves,22.0,Carrera x muntanya Perenxisa,5,35,False
"València, Valencia",Bici Carretera,1000000 m,runedia,2025-01-31,2025,1,Viernes,1000.0,Volta a la Comunitat Valenciana,5,35,False
"Castelló, Castelló De La Plana",Btt,58000 m,runedia,2025-02-01,2025,2,Sábado,58.0,Mediterranean Epic - Etapa 2 - 58k,5,35,False
"València, Valencia",Bici Carretera,1000 m,runedia,2025-02-01,2025,2,Sábado,1000.0,Volta a la Comunitat Valenciana (1-5 febrer),5,35,False
"Alacant, Alicante",Asfalto,10000 m,runedia,2025-02-02,2025,2,Domingo,10.0,Carrera Solidaria Colegio Don Bosco Alicante,5,35,False
"València, Lloc Nou De Sant Jeroni",Obstáculos,5000 m,runedia,2025-02-02,2025,2,Domingo,5.0,Medieval Xtrem Race Lloc Nou de Sant Jeroni -5k,5,35,False
"Castelló, Cabanes",Tierra,13000 m,runedia,2025-02-02,2025,2,Domingo,13.0,Marxa Cabanes no competitiva - 13 k,5,35,False
"València, Barxeta",Bici Carretera,75000 m,runedia,2025-02-02,2025,2,Domingo,75.0,Volta a la Marina - Barxeta 75k,5,35,False
"Alacant, Ròtova",Tierra,15000 m,runedia,2025-02-02,2025,2,Domingo,15.0,Marcha de Veteranos de la Comunidad Valenciana FEMECV,5,35,False
"València, Lloc Nou De Sant Jeroni",Obstáculos,9000 m,runedia,2025-02-02,2025,2,Domingo,9.0,Medieval Xtrem Race Lloc Nou de Sant Jeroni,5,35,False
"Castelló, Useres",Btt,60000 m,runedia,2025-02-02,2025,2,Domingo,60.0,BTT XCM USERES Maraton 60k,5,35,False
"València, Llombai",Montaña,15000 m,runedia,2025-02-02,2025,2,Domingo,15.0,Alèdua Trail,5,35,False
"Alacant, Altea",Btt,100000 m,runedia,2025-02-02,2025,2,Domingo,100.0,"Costa Blanca Bike Race, 4a etapa",5,35,False
"València, Sagunto",Asfalto,21097 m,runedia,2025-02-02,2025,2,Domingo,21.1,Media Maratón Puerto de Sagunto,5,35,False
"Castelló, Useres",Btt,40000 m,runedia,2025-02-02,2025,2,Domingo,40.0,BTT XCM USERES Marcha corta 40k,5,35,False
"València, Valencia",Bici Carretera,1000 m,runedia,2025-02-02,2025,2,Domingo,1000.0,Volta a la Comunitat Valenciana (2-6 febrer),5,35,False
"Alacant, Alicante",Asfalto,10000 m,runedia,2025-02-03,2025,2,Lunes,10.0,IV Carrera Solidaria Colegio Don Bosco Alicante,6,113,False
"Castelló, Cabanes",Montaña,23000 m,runedia,2025-02-03,2025,2,Lunes,23.0,Marcha Cabanes,6,113,False
"Alacant, Alcúdia",Asfalto,5000 m,runedia,2025-02-03,2025,2,Lunes,5.0,Cross Popular la Alcudia,6,113,False
"Castelló, Segorbe",Montaña,42195 m,runedia,2025-02-03,2025,2,Lunes,42.2,XXI Maratón Espadán,6,113,False
"Castelló, Segorbe",Montaña,12000 m,runedia,2025-02-03,2025,2,Lunes,12.0,12 k by maratón espadán,6,113,False
"Alacant, Xeresa",Caminata,11000 m,runedia,2025-02-03,2025,2,Lunes,11.0,Marxa Veterans Comunitat Valenciana,6,113,False
"València, Oliva",Asfalto,21797 m,runedia,2025-02-03,2025,2,Lunes,21.8,Mitja Marató i 10 km Ciutat d'Oliva,6,113,False
"València, Quartell",Ruta,21097 m,runedia,2025-02-03,2025,2,Lunes,21.1,Mitja marató a la Vall de Segó,6,113,False
"València, Oliva",Asfalto,10000 m,runedia,2025-02-03,2025,2,Lunes,10.0,10000 metres de la mitja marató Ciutat d'Oliva,6,113,False
"València, Valencia",Ruta,82080 m,runedia,2025-02-03,2025,2,Lunes,82.08,Cursa 6 hores ultrafons Valencia,6,113,False
"Alacant, Pedreguer",Montaña,21000 m,runedia,2025-02-03,2025,2,Lunes,21.0,Cursa de muntanya Ocaive,6,113,False
"Alacant, Pedreguer",Montaña,15000 m,runedia,2025-02-03,2025,2,Lunes,15.0,Marxa de muntanya Ocaive,6,113,False
"Alacant, El Campello",Cross,3000 m,runedia,2025-02-03,2025,2,Lunes,3.0,Cross Solidario Don Bosco El Campello - 3k,6,113,False
"Alacant, Alicante",Asfalto,5000 m,runedia,2025-02-03,2025,2,Lunes,5.0,IV Carrera Solidaria Colegio Don Bosco Alicante corta,6,113,False
"Alacant, Crevillent",Montaña,45000 m,runedia,2025-02-03,2025,2,Lunes,45.0,Marcha Integral a la Sierra de Crevillent,6,113,False
"València, Tous",Asfalto,10000 m,runedia,2025-02-03,2025,2,Lunes,10.0,Puja al poble Vell de Tous - 10k,6,113,False
"Alacant, El Campello",Cross,6000 m,runedia,2025-02-03,2025,2,Lunes,6.0,Cross Solidario Don Bosco El Campello - 6k,6,113,False
"València, La Pobla De Vallbona",Btt,40000 m,runedia,2025-02-03,2025,2,Lunes,40.0,MTB La Pobla de Vallbona - Circuit MTV Valencia,6,113,False
"Castelló, Segorbe",Montaña,24000 m,runedia,2025-02-03,2025,2,Lunes,24.0,Media maratón Espadán,6,113,False
"València, Tous",Asfalto,10000 m,runedia,2025-02-03,2025,2,Lunes,10.0,Puja al poble Vell de Tous - Relleus,6,113,False
"València, Canals",Montaña,21000 m,runedia,2025-02-03,2025,2,Lunes,21.0,Trail Tunel de Canals,6,113,False
"València, Tous",Asfalto,21000 m,runedia,2025-02-03,2025,2,Lunes,21.0,Puja al poble Vell de Tous - 21km,6,113,False
"València, Genovés",Montaña,16000 m,runedia,2025-02-03,2025,2,Lunes,16.0,Trail L´Aventaor de Genovés,6,113,False
"València, Tous",Asfalto,21000 m,runedia,2025-02-04,2025,2,Martes,21.0,1º Puja al poble Vell de Tous,6,113,False
"València, Alginet",Montaña,16000 m,runedia,2025-02-04,2025,2,Martes,16.0,Tomaca Trail - 16k,6,113,False
"Castelló, Cabanes",Tierra,13000 m,runedia,2025-02-04,2025,2,Martes,13.0,Marxa Cabanes 13k,6,113,False
"València, Xàtiva",Asfalto,6500 m,runedia,2025-02-04,2025,2,Martes,6.5,Cursa de Sant Valentí,6,113,False
"Castelló, Cabanes",Montaña,26000 m,runedia,2025-02-04,2025,2,Martes,26.0,Marcha Cabanes 26k,6,113,False
"Alacant, Alicante",Asfalto,5000 m,runedia,2025-02-04,2025,2,Martes,5.0,Carrera Solidaria Colegio Don Bosco Alicante 5k,6,113,False
"València, Alginet",Montaña,10000 m,runedia,2025-02-04,2025,2,Martes,10.0,Tomaca Trail - 10k,6,113,False
"Alacant, Xixona",Btt,64000 m,runedia,2025-02-04,2025,2,Martes,64.0,La Terreta Bike Marathon,6,113,False
"València, Oliva",Asfalto,10547 m,runedia,2025-02-04,2025,2,Martes,10.55,Quart de  Mitja Marató Ciutat d'Oliva,6,113,False
"Alacant, Tibi",Montaña,17000 m,runedia,2025-02-04,2025,2,Martes,17.0,"III trail volta al ""pantano"" de Tibi - 17km",6,113,False
"València, La Pobla De Vallbona",Btt,38880 m,runedia,2025-02-04,2025,2,Martes,38.88,MTB La Pobla de Vallbona - Circuit MTV Valencia,6,113,False
"València, Benisoda",Montaña,15000 m,runedia,2025-02-04,2025,2,Martes,15.0,Trail per muntanya de Benissoda,6,113,False
"Alacant, Crevillent",Tierra,15000 m,runedia,2025-02-04,2025,2,Martes,15.0,Marcha de Veteranos de la Comunidad Valenciana FEMECV,6,113,False
"Castelló, Nules",Asfalto,10000 m,runedia,2025-02-04,2025,2,Martes,10.0,10km Noulas,6,113,False
"Alacant, Tibi",Montaña,26000 m,runedia,2025-02-04,2025,2,Martes,26.0,"III trail volta al ""pantano"" de Tibi - 26km",6,113,False
"Alacant, Aigües",Montaña,15000 m,runedia,2025-02-04,2025,2,Martes,15.0,Trail de les Aigües,6,113,False
"València, Xàtiva",Cross,5790 m,runedia,2025-02-04,2025,2,Martes,5.79,I Cross Ciutat de Xàtiva,6,113,False
"València, Oliva",Asfalto,21797 m,runedia,2025-02-04,2025,2,Martes,21.8,Mitja Marató Ciutat d'Oliva,6,113,False
"València, Alginet",Btt,40000 m,runedia,2025-02-04,2025,2,Martes,40.0,Marcha btt Alginet - La Ribera,6,113,False
"València, Albalat Dels Tarongers",Montaña,11000 m,runedia,2025-02-04,2025,2,Martes,11.0,ADT Sprint Trail Albalat dels Tarongers,6,113,False
"València, Tous",Asfalto,10000 m,runedia,2025-02-04,2025,2,Martes,10.0,1º Puja al poble Vell de Tous - 10k,6,113,False
"València, Picanya",Duatlón,5000 m,runedia,2025-02-04,2025,2,Martes,5.0,Duatló Vila de Picanya,6,113,False
"Castelló, Onda",Montaña,17700 m,runedia,2025-02-04,2025,2,Martes,17.7,Pujada a Montí d'Onda,6,113,False
"Alacant, Pego",Btt,65000 m,runedia,2025-02-04,2025,2,Martes,65.0,Volta a la Marina - Pego,6,113,False
"València, Benisoda",Montaña,14000 m,runedia,2025-02-04,2025,2,Martes,14.0,Trail Benissoda,6,113,False
"Castelló, Nules",Asfalto,21097 m,runedia,2025-02-05,2025,2,Miércoles,21.1,Mitja Marató Noulas,6,113,False
"València, Llombai",Montaña,25000 m,runedia,2025-02-05,2025,2,Miércoles,25.0,Alèdua Trail,6,113,False
"València, Valencia",Tierra,10000 m,runedia,2025-02-05,2025,2,Miércoles,10.0,Carrera de las empresas Valencianas,6,113,False
"València, Beniarjó",Asfalto,8000 m,runedia,2025-02-05,2025,2,Miércoles,8.0,Carrera popular solidaria Beniarjó,6,113,False
"València, Oliva",Asfalto,21097 m,runedia,2025-02-05,2025,2,Miércoles,21.1,Mitja Marató Ciutat d'Oliva,6,113,False
"València, Oliva",Asfalto,10547 m,runedia,2025-02-05,2025,2,Miércoles,10.55,Quart de Mitja Marató Ciutat d'Oliva,6,113,False
"València, Simat De La Valldigna",Montaña,11700 m,runedia,2025-02-05,2025,2,Miércoles,11.7,Simat Trail - Marcha Senderista,6,113,False
"Alacant, Xàbia",Montaña,14500 m,runedia,2025-02-05,2025,2,Miércoles,14.5,Granadella Trail Costa Blanca - Corta,6,113,False
"València, Xeresa",Montaña,21200 m,runedia,2025-02-05,2025,2,Miércoles,21.2,Trail de Xeresa,6,113,False
"Alacant, Alicante",Asfalto,10000 m,runedia,2025-02-05,2025,2,Miércoles,10.0,Carrera Solidaria Colegio Don Bosco Alicante 10k,6,113,False
"Castelló, Benicarló",Ruta,21097 m,runedia,2025-02-05,2025,2,Miércoles,21.1,Mitja y Mini Marató del Benicarló,6,113,False
"Castelló, Onda",Montaña,17700 m,runedia,2025-02-05,2025,2,Miércoles,17.7,Pujada a Montí D'Onda,6,113,False
"València, Massanassa",Ruta,4300 m,runedia,2025-02-05,2025,2,Miércoles,4.3,Volta a Peu a l'Albufera,6,113,False
"València, Albalat Dels Tarongers",Montaña,11000 m,runedia,2025-02-05,2025,2,Miércoles,11.0,ADT Sprint Trail Albalat dels Tarongers 11k,6,113,False
"Alacant, Monovar",Montaña,22000 m,runedia,2025-02-05,2025,2,Miércoles,22.0,Carrera por Monaña Monovar,6,113,False
"València, Valencia",Ruta,100000 m,runedia,2025-02-05,2025,2,Miércoles,100.0,Cursa 6 hores ultrafons Valencia,6,113,False
"València, Albalat Dels Tarongers",Montaña,21000 m,runedia,2025-02-05,2025,2,Miércoles,21.0,ADT Trail Albalat dels Tarongers 21k,6,113,False
"Alacant, Albatera",Montaña,35000 m,runedia,2025-02-05,2025,2,Miércoles,35.0,Marcha Senderista Integral Sierra de Albatera,6,113,False
"València, Oliva",Asfalto,10000 m,runedia,2025-02-05,2025,2,Miércoles,10.0,10k Mitja marató Ciutat d'Oliva,6,113,False
"Alacant, Xàbia",Montaña,26500 m,runedia,2025-02-05,2025,2,Miércoles,26.5,Granadella Trail Costa Blanca - Larga,6,113,False
"València, Sagunt",Asfalto,21097 m,runedia,2025-02-06,2025,2,Jueves,21.1,Media Maratón Sagunto,6,113,False
"València, Barranco De Beniopa",Caminata,11400 m,runedia,2025-02-06,2025,2,Jueves,11.4,KM Vertical Gandía - Caminante,6,113,False
"Castelló, Castellón De La Plana",Btt,70000 m,runedia,2025-02-06,2025,2,Jueves,70.0,Bono Maratón 70k,6,113,False
"València, Valencia",Bici Carretera,1000000 m,runedia,2025-02-06,2025,2,Jueves,1000.0,70ª Volta a la Comunitat Valenciana,6,113,False
"Alacant, Monovar",Montaña,22000 m,runedia,2025-02-06,2025,2,Jueves,22.0,Cursa per muntanya Serra del Coto,6,113,False
"València, Gandia",Montaña,15000 m,runedia,2025-02-06,2025,2,Jueves,15.0,KM Vertical Gandia,6,113,False
"Alacant, Xàbia",Montaña,21000 m,runedia,2025-02-06,2025,2,Jueves,21.0,Granadella Trail Costa Blanca,6,113,False
"Castelló, Segorbe",Montaña,42195 m,runedia,2025-02-06,2025,2,Jueves,42.2,XXIII Maratón Espadán,6,113,False
"València, La Pobla De Farnals",Ruta,21097 m,runedia,2025-02-06,2025,2,Jueves,21.1,Mitja marato costera la Pobla de Farnals,6,113,False
"València, Sagunt",Asfalto,8000 m,runedia,2025-02-06,2025,2,Jueves,8.0,Sagunt Corre Carrera 8K,6,113,False
"València, Villanueva De Castellón",Duatlón,9800 m,runedia,2025-02-07,2025,2,Viernes,9.8,Duatló per relleus Castelló - La Ribera Alta,6,113,False
"València, Oliva",Asfalto,21797 m,runedia,2025-02-07,2025,2,Viernes,21.8,Ya no se celebra,6,113,False
"Castelló, Useres",Btt,60000 m,runedia,2025-02-07,2025,2,Viernes,60.0,BTT XCM Useres Maraton 60k,6,113,False
"Castelló, Useres",Btt,40000 m,runedia,2025-02-07,2025,2,Viernes,40.0,BTT XCM Useres Marcha corta 40k,6,113,False
"València, Llombai",Montaña,23000 m,runedia,2025-02-07,2025,2,Viernes,23.0,Alèdua Trail,6,113,False
"Castelló, Benicarló",Ruta,21097 m,runedia,2025-02-07,2025,2,Viernes,21.1,Mitja   y Mini Marató del Benicarló,6,113,False
"València, Llombai",Montaña,11000 m,runedia,2025-02-07,2025,2,Viernes,11.0,Alèdua Trail Expres,6,113,False
"València, Benisoda",Montaña,15000 m,runedia,2025-02-07,2025,2,Viernes,15.0,Trail Benissoda,6,113,False
"Castelló, Castelló De La Plana",Btt,100000 m,runedia,2025-02-08,2025,2,Sábado,100.0,Mediterranean Epic,6,113,False
"Castelló, Oropesa Del Mar",Btt,50000 m,runedia,2025-02-08,2025,2,Sábado,50.0,Mediterranean EPIC - Etapa 4 (8-11 FEBRERO),6,113,False
"Castelló, Oropesa Del Mar",Btt,65000 m,runedia,2025-02-08,2025,2,Sábado,65.0,Mediterranean EPIC - Etapa 1 (8-11 FEBRERO),6,113,False
"Castelló, Oropesa Del Mar",Btt,85000 m,runedia,2025-02-08,2025,2,Sábado,85.0,Mediterranean EPIC - Etapa 3 (8-11 FEBRERO),6,113,False
"Castelló, Castelló De La Plana",Btt,58000 m,runedia,2025-02-08,2025,2,Sábado,58.0,Mediterranean Epic - Etapa 2 (8-11 FEBRERO),6,113,False
"Castelló, Castellón De La Plana",Btt,70000 m,runedia,2025-02-08,2025,2,Sábado,70.0,BONO MARATÓN 70k,6,113,False
"València, Villena",,12000 m,runedia,2025-02-08,2025,2,Sábado,12.0,1ª Prova Copa Marxa Nordica FEMECV,6,113,False
"València, Xàtiva",Asfalto,7000 m,runedia,2025-02-08,2025,2,Sábado,7.0,Cursa de Sant Valentí,6,113,False
"Castelló, Castellón De La Plana",Btt,47000 m,runedia,2025-02-08,2025,2,Sábado,47.0,BONO MARCHA CORTA 47k,6,113,False
"Castelló, Cabanes",Montaña,26000 m,runedia,2025-02-08,2025,2,Sábado,26.0,Marcha Cabanes,6,113,False
"València, Tavernes De La Valldigna",Montaña,11700 m,runedia,2025-02-09,2025,2,Domingo,11.7,SprintTrail les Creus 11k,6,113,False
"València, Xàtiva",Asfalto,7500 m,runedia,2025-02-09,2025,2,Domingo,7.5,Cursa de Sant Valentí,6,113,False
"Alacant, Novelda",Caminata,18000 m,runedia,2025-02-09,2025,2,Domingo,18.0,Carrera de montaña de la Mola Novelda - Senderistas,6,113,False
"Castelló, Almenara",Montaña,8000 m,runedia,2025-02-09,2025,2,Domingo,8.0,Almenara Xtrem - Marxa al Castell,6,113,False
"Alacant, Benidorm",Btt,68000 m,runedia,2025-02-09,2025,2,Domingo,68.0,Volta a la Marina - Benissa 68k,6,113,False
"Alacant, Pedreguer",Travesía,12000 m,runedia,2025-02-09,2025,2,Domingo,12.0,Cursa de muntanya Ocaive - Sender 12k,6,113,False
"València, Pedralba",Asfalto,10100 m,runedia,2025-02-09,2025,2,Domingo,10.1,Carrera Parque Natural del Túria,6,113,False
"València, Tavernes De La Valldigna",Montaña,22000 m,runedia,2025-02-09,2025,2,Domingo,22.0,Trail Les Creus 22k,6,113,False
"Castelló, Segorbe",Montaña,25000 m,runedia,2025-02-09,2025,2,Domingo,25.0,Media maratón Espadán,6,113,False
"València, Benirredrà",Asfalto,9000 m,runedia,2025-02-09,2025,2,Domingo,9.0,Volta a peu a Benirredrà,6,113,False
"València, Turis",Asfalto,8600 m,runedia,2025-02-09,2025,2,Domingo,8.6,Gran fons de Turis Raimon Soria  - Curta,6,113,False
"Castelló, Segorbe",Montaña,42195 m,runedia,2025-02-09,2025,2,Domingo,42.2,XXII Maratón Espadán,6,113,False
"Alacant, Denia",Btt,3500 m,runedia,2025-02-09,2025,2,Domingo,3.5,Volta a la Marina - Denia,6,113,False
"Alacant, Orihuela",Asfalto,8000 m,runedia,2025-02-09,2025,2,Domingo,8.0,8k Ciudad de Orihuela,6,113,False
"València, Tavernes De La Valldigna",Travesía,9000 m,runedia,2025-02-09,2025,2,Domingo,9.0,Marxa les Creus,6,113,False
"Alacant, Pedreguer",Montaña,21000 m,runedia,2025-02-09,2025,2,Domingo,21.0,Cursa de muntanya Ocaive - Mitja Marató 21k,6,113,False
"Alacant, Pedreguer",Montaña,13000 m,runedia,2025-02-09,2025,2,Domingo,13.0,Cursa de muntanya Ocaive - Speed Trail 13k,6,113,False
"Alacant, Santa Pola",Montaña,11700 m,runedia,2025-02-10,2025,2,Lunes,11.7,"I Prueba copa Marcha Nórdica, FEMECV",7,112,False
"València, Xàtiva",Asfalto,7000 m,runedia,2025-02-10,2025,2,Lunes,7.0,1ª Cursa de Sant Valentí,7,112,False
"València, Valencia",Asfalto,10000 m,runedia,2025-02-10,2025,2,Lunes,10.0,Marca running series Valencia,7,112,False
"València, Alcúdia",Cross,9000 m,runedia,2025-02-10,2025,2,Lunes,9.0,Cross de l'Alcúdia,7,112,False
"València, Valencia",Asfalto,5000 m,runedia,2025-02-10,2025,2,Lunes,5.0,Marca running series Valencia (5K),7,112,False
"Castelló, Castellon",Ruta,10000 m,runedia,2025-02-10,2025,2,Lunes,10.0,IV 10k HdosO - Trofeo Caja Rural Castellón,7,112,False
"Alacant, Ondara",Asfalto,15000 m,runedia,2025-02-10,2025,2,Lunes,15.0,Gran fons Ondara Marina Alta,7,112,False
"Alacant, Novelda",Caminata,15500 m,runedia,2025-02-10,2025,2,Lunes,15.5,Carrera de montaña Cerro de Mola-Novelda - Senderistas,7,112,False
"València, Rótova",Montaña,19000 m,runedia,2025-02-10,2025,2,Lunes,19.0,VI Trail Ròtova. Senders de la Vall del Vernissa,7,112,False
"València, Turis",Asfalto,16100 m,runedia,2025-02-10,2025,2,Lunes,16.1,Gran fons de Turis Raimon Soria  - Llarga,7,112,False
"Alacant, Monforte Del Cid",Asfalto,3500 m,runedia,2025-02-10,2025,2,Lunes,3.5,Marcha contra el Cáncer,7,112,False
"Alacant, Novelda",Montaña,18000 m,runedia,2025-02-10,2025,2,Lunes,18.0,Carrera de montaña de la Mola-Novelda,7,112,False
